id,gender,age,lifecycle,delivery_options,online_ordering_flow,chocolate_quality,chocolate_variety,chocolate_uniqueness,innovation,inspiration,payment_options,price_fairness,price_variety,price_comparison,packaging,satisfaction
1334268,Female,55,Returning,3,3,4,3,3,1,4,1,2,3,1,1,Neutral or Dissatisfied
25807,Female,39,First-time,1,1,4,1,3,2,3,1,5,5,2,1,Neutral or Dissatisfied
8091466,Female,56,Returning,2,2,2,3,3,2,3,2,2,5,2,2,Neutral or Dissatisfied
6008938,Female,64,Returning,4,3,5,5,3,4,4,3,3,4,4,3,Neutral or Dissatisfied
3030096,Male,59,Returning,5,3,1,5,4,1,1,3,2,5,1,3,Neutral or Dissatisfied
9867908,Male,62,Returning,1,2,3,2,3,4,5,3,1,1,3,2,Neutral or Dissatisfied
6366511,Female,65,Returning,4,4,3,3,4,2,1,4,3,5,2,4,Neutral or Dissatisfied
7292546,Male,61,Returning,2,2,2,2,4,2,2,1,4,4,3,2,Neutral or Dissatisfied
9666994,Female,50,Returning,1,1,1,1,1,5,1,5,4,5,5,1,Satisfied
4593566,Male,18,Returning,5,3,4,3,1,3,3,4,3,3,5,3,Neutral or Dissatisfied
8908707,Female,41,Returning,1,1,4,5,1,3,5,4,4,5,3,1,Satisfied
5783632,Female,26,Returning,5,4,5,4,5,5,4,5,4,4,5,5,Satisfied
3182037,Male,24,Returning,1,5,2,2,1,3,1,3,2,2,4,2,Neutral or Dissatisfied
8730313,Male,37,First-time,4,4,3,4,5,5,4,4,4,4,5,4,Satisfied
2429893,Male,59,Returning,5,5,5,4,5,5,5,4,3,2,5,5,Satisfied
2802997,Male,25,First-time,2,2,4,2,1,3,2,4,2,2,4,2,Neutral or Dissatisfied
6972972,Female,42,Returning,2,2,1,4,2,4,5,4,4,5,4,2,Satisfied
5814107,Male,41,Returning,4,4,4,2,4,4,1,4,3,2,4,4,Satisfied
6606560,Male,56,Returning,4,4,2,3,4,2,3,2,4,1,2,4,Satisfied
9503577,Male,48,Returning,5,5,3,5,5,5,5,5,4,5,5,5,Satisfied
5676487,Female,66,Returning,2,3,2,4,3,5,3,3,4,2,5,3,Neutral or Dissatisfied
3901226,Male,29,Returning,5,3,2,3,3,1,5,4,5,5,4,3,Neutral or Dissatisfied
6841193,Female,21,Returning,5,5,3,1,5,4,1,1,1,1,4,1,Neutral or Dissatisfied
9232107,Female,51,Returning,5,2,5,5,4,1,4,2,4,5,1,2,Neutral or Dissatisfied
7097278,Female,33,Returning,1,3,5,5,1,5,4,5,4,2,5,1,Satisfied
5847427,Male,22,Returning,4,3,5,3,3,3,4,5,4,4,4,3,Neutral or Dissatisfied
3273837,Male,12,Returning,5,4,4,4,3,5,4,3,4,4,5,4,Neutral or Dissatisfied
7135120,Female,30,Returning,2,2,3,5,2,4,5,3,5,5,5,2,Satisfied
2833085,Male,41,Returning,1,1,4,4,1,1,4,2,4,4,4,4,Neutral or Dissatisfied
501936,Female,43,Returning,2,2,4,3,2,5,5,5,5,2,5,5,Satisfied
1030257,Male,41,Returning,4,4,3,5,4,4,4,4,4,3,4,4,Satisfied
6268215,Male,55,Returning,1,3,1,3,1,4,3,4,4,4,2,3,Neutral or Dissatisfied
8043577,Male,20,Returning,2,2,4,4,2,4,4,3,4,4,4,2,Satisfied
5214030,Male,37,First-time,0,4,5,4,4,4,5,4,1,1,2,5,Satisfied
2549935,Male,42,Returning,2,3,4,5,2,5,4,5,4,4,5,2,Satisfied
4830887,Male,66,Returning,1,1,2,3,1,2,4,2,1,5,2,2,Neutral or Dissatisfied
3582555,Male,55,Returning,2,2,4,4,2,3,4,4,4,5,3,2,Satisfied
8529280,Male,40,Returning,4,2,5,4,4,5,5,5,3,2,5,4,Satisfied
9638331,Male,8,First-time,5,3,5,3,3,4,3,5,3,3,5,3,Neutral or Dissatisfied
1749661,Female,48,Returning,5,3,3,5,1,4,5,3,3,2,4,3,Neutral or Dissatisfied
177818,Female,33,Returning,0,0,2,0,4,3,3,1,3,3,3,0,Satisfied
2990406,Female,29,First-time,4,4,3,4,3,4,3,2,3,3,4,5,Satisfied
9207232,Male,39,Returning,4,4,5,4,5,2,5,5,5,5,2,4,Neutral or Dissatisfied
5018196,Male,53,Returning,2,2,3,3,3,2,3,3,3,2,1,2,Neutral or Dissatisfied
4515251,Female,61,Returning,5,4,4,4,5,2,4,2,4,4,1,5,Satisfied
7970798,Male,56,Returning,4,4,5,4,4,4,5,5,3,3,4,4,Satisfied
5795336,Male,24,Returning,5,5,3,4,5,4,4,4,4,4,5,5,Satisfied
9491189,Female,38,Returning,2,1,2,1,1,1,3,2,3,3,1,1,Neutral or Dissatisfied
8045163,Male,19,Returning,3,3,2,1,3,3,3,3,1,1,3,1,Neutral or Dissatisfied
582002,Female,41,Returning,3,3,3,2,3,1,2,2,4,5,1,1,Neutral or Dissatisfied
7375246,Male,51,Returning,3,5,1,3,3,3,4,3,2,2,3,3,Neutral or Dissatisfied
4904670,Female,30,Returning,5,5,5,4,5,4,4,5,4,4,5,5,Satisfied
6199105,Male,22,First-time,2,2,3,2,4,4,3,4,3,3,4,2,Neutral or Dissatisfied
7934632,Male,45,Returning,3,3,1,3,3,4,3,3,3,3,2,3,Satisfied
8266662,Male,19,Returning,5,0,2,0,3,3,4,3,4,4,5,3,Neutral or Dissatisfied
6335174,Male,38,Returning,4,4,2,3,4,2,4,2,1,5,2,2,Neutral or Dissatisfied
1505336,Female,40,Returning,4,2,4,2,4,4,1,4,1,1,5,2,Neutral or Dissatisfied
1076796,Female,54,Returning,5,3,3,2,4,3,3,3,1,2,3,3,Neutral or Dissatisfied
651717,Male,47,Returning,2,2,3,5,2,4,4,4,5,5,4,2,Satisfied
521093,Male,18,First-time,3,4,3,4,2,5,2,4,2,2,3,4,Neutral or Dissatisfied
7675157,Female,26,Returning,4,5,1,5,4,5,5,4,5,5,2,4,Neutral or Dissatisfied
8090853,Male,44,First-time,2,2,4,2,4,4,4,3,4,4,4,2,Neutral or Dissatisfied
5746455,Male,54,Returning,5,5,2,2,5,3,2,3,2,2,4,5,Satisfied
2829665,Female,40,Returning,2,2,4,5,2,4,5,4,5,2,4,2,Satisfied
1054614,Male,68,Returning,3,2,3,2,4,4,5,4,1,1,1,2,Neutral or Dissatisfied
6924354,Female,31,Returning,4,3,4,3,5,5,3,5,3,3,5,3,Neutral or Dissatisfied
6321461,Male,26,Returning,3,1,2,1,4,2,5,1,5,5,4,1,Neutral or Dissatisfied
3260470,Female,54,Returning,5,5,4,5,5,4,4,4,5,4,4,5,Satisfied
4972681,Female,18,Returning,4,4,4,4,5,5,4,5,4,4,4,4,Neutral or Dissatisfied
1586,Male,42,Returning,2,2,3,4,2,5,5,4,3,4,5,2,Satisfied
265065,Female,30,Returning,2,3,4,4,2,4,4,5,4,4,3,2,Satisfied
1739076,Female,26,Returning,5,1,2,1,3,3,5,1,1,1,5,3,Neutral or Dissatisfied
6874744,Female,66,Returning,5,5,3,4,5,2,4,2,2,4,2,2,Neutral or Dissatisfied
3286383,Male,12,Returning,5,4,3,4,5,5,2,3,2,2,4,4,Neutral or Dissatisfied
2864904,Female,20,Returning,3,2,4,2,1,2,3,2,3,3,2,2,Neutral or Dissatisfied
2741396,Female,41,Returning,2,2,4,4,2,5,4,5,4,5,5,2,Satisfied
6211729,Female,71,Returning,3,3,4,3,3,2,3,2,3,3,2,2,Neutral or Dissatisfied
2296566,Female,29,Returning,5,3,3,3,4,5,4,5,4,4,4,3,Neutral or Dissatisfied
4127493,Female,59,Returning,2,2,3,5,2,5,4,5,4,2,5,2,Satisfied
5548403,Male,56,Returning,1,1,3,4,1,2,3,2,4,3,2,2,Neutral or Dissatisfied
1739801,Male,27,Returning,5,3,2,3,1,4,4,4,4,4,4,2,Neutral or Dissatisfied
3679715,Female,58,Returning,4,5,4,4,4,5,4,5,3,5,5,4,Satisfied
9307807,Male,45,Returning,4,0,2,4,1,4,1,3,1,5,4,0,Satisfied
4999551,Female,42,Returning,1,5,4,5,1,4,4,4,5,3,4,1,Satisfied
